Tweet,Created_at,Year,Month,City,Sentiment,Emotion,Dominant Topic
this is fear mongering. literally only one person has had the virus in the us. you really need a whole article to tell people how to protect themselves? wash your damn hands! cover your coughs. that's how.,2020-01-22,2020,1,"Kansas City,MO",negative,anger,Topic 2
i hear if you drink too many coronas you get coronavirus.,2020-01-24,2020,1,"Kansas City,MO",neutral,sadness,Topic 2
the is spreading and cut spending to the . will his administration royally fuck this up?,2020-01-25,2020,1,"Kansas City,MO",negative,anger,Topic 3
will do anything to protect us citizens from or will he just continue to obstruct his own impeachment case?,2020-01-26,2020,1,"Kansas City,MO",positive,anger,Topic 3
usa today: third us coronavirus case confirmed in california; infection can spread before symptoms show. via,2020-01-26,2020,1,"Kansas City,MO",neutral,sadness,Topic 4
"there are some valid concerns about mass quarantines in this article, but i find it to be written from a very western/individualistic perspective. i wonder if these policies are more easily implemented in cultures that are more collectivist.",2020-01-27,2020,1,"Kansas City,MO",positive,optimism,Topic 4
that's where coronavirus develops,2020-01-27,2020,1,"Kansas City,MO",neutral,sadness,Topic 3
ive enjoyed seeing the is it time to panic about the wuhan coronavirus?-type headlines. is it ever time to panic about anything? does panic solve problems?,2020-01-27,2020,1,"Kansas City,MO",negative,sadness,Topic 3
you know what a real school like missouri doesn't have? coronavirus,2020-01-29,2020,1,"Kansas City,MO",positive,sadness,Topic 2
"chicago woman infects husband with coronavirus, first human-to-human spread in us via",2020-01-30,2020,1,"Kansas City,MO",neutral,sadness,Topic 4
the u.s. is taking new measures to combat the including denying entry to foreign nationals who had recently visited china and imposing -day quarantines on american citizens returning from mainland china.,2020-01-31,2020,1,"Long Beach,CA",negative,anger,Topic 3
"oh f this is the first time in over years that cdc has issued a quarantine order,"" said dr. nancy messonnier, director of the national center for immunization and respiratory diseases at the cdc.",2020-01-31,2020,1,"Long Beach,CA",neutral,sadness,Topic 4
heres the other side of argument. we dont know what the cdc is telling the government. they may know with % certainty that the coronavirus is like the flu. and they could be telling the government that suspending travel therefore isnt necessary.,2020-01-31,2020,1,"Long Beach,CA",negative,anger,Topic 2
what do i live in fear of? its not coronavirus. its fear of my calendars not syncing.,2020-01-31,2020,1,"Long Beach,CA",negative,sadness,Topic 1
bubonic plague: who gonna wipe out the population like i did?! coronavirus:,2020-01-31,2020,1,"Long Beach,CA",positive,anger,Topic 3
health inspectors worst nightmare.,2020-01-31,2020,1,"Long Beach,CA",negative,sadness,Topic 4
throwing up blood!!!,2020-01-31,2020,1,"Long Beach,CA",neutral,anger,Topic 1
yep coronavrus is out of control . but im sitting in broad daylight not bothering anybody hahaha,2020-01-31,2020,1,"Long Beach,CA",negative,anger,Topic 2
"since the coronavirus is in santa clara county, does that mean the will be canceled? thats where the niners play!",2020-01-31,2020,1,"Long Beach,CA",positive,anger,Topic 4
coronavirus continues to remain market focus.. meaning its a great time to buy gold &amp; oil. when naturally disasters occur currencies began to fall ...majority currencies are back up on gold.,2020-01-31,2020,1,"Long Beach,CA",positive,optimism,Topic 3
but then again...perhaps not.,2020-01-25,2020,1,"Omaha,NE",neutral,sadness,Topic 3
"case in point. will get much, much worse before it gets better. r0 of is very high. worse, it is contagious prior to symptoms, which means youre spreading it before you know youre sick. containing this will be nearly impossible. see comments for r0 info.",2020-01-25,2020,1,"Omaha,NE",negative,sadness,Topic 2
"you can put the coronavirus in the same category as the bird flu. its not going to wipe out humanity, its not even going to be a big deal.",2020-01-25,2020,1,"Omaha,NE",negative,anger,Topic 2
coronavirus: could it damage the global economy?,2020-01-27,2020,1,"Omaha,NE",negative,sadness,Topic 3
coronavirus scare worries omaha's chinese community,2020-01-27,2020,1,"Omaha,NE",negative,sadness,Topic 4
who ever controls that coronavirus. get,2020-01-27,2020,1,"Omaha,NE",neutral,anger,Topic 3
"if the coronavirus was a person, im pretty sure it would look like",2020-01-28,2020,1,"Omaha,NE",positive,joy,Topic 2
yall. i work for a travel insurance company and this coronavirus is the absolute worst thing thats ever happened to me,2020-01-28,2020,1,"Omaha,NE",negative,anger,Topic 2
i didnt get my flu shot and proceeded to not get the flu after spending close contact with someone who had it for a week i am invincible the coronavirus cant touch me,2020-01-29,2020,1,"Omaha,NE",positive,sadness,Topic 2
*****the chinese government released the to stop all the protests******,2020-01-31,2020,1,"Omaha,NE",negative,anger,Topic 3
"your team focused on reducing the burden of hearing loss should be sure to address screening, treatment, and a vaccine for congenital , estimated to be the cause of % of all pediatric hearing loss - happy to help",2020-01-18,2020,1,"Raleigh,NC",positive,sadness,Topic 4
": possible case of being investigated in raleigh, after wuhan, china traveler lands at rdu. patient had mild respiratory symptoms, in good condition.",2020-01-24,2020,1,"Raleigh,NC",positive,sadness,Topic 4
spoiler alert: it is and we have a vaccine for that!,2020-01-27,2020,1,"Raleigh,NC",positive,joy,Topic 4
"to be honest keef, we got other problems the coronavirus can solve",2020-01-30,2020,1,"Raleigh,NC",positive,optimism,Topic 3
lots of people at the airport wearing facemasks.,2020-01-30,2020,1,"Raleigh,NC",neutral,joy,Topic 2
and i am saying this out of fear of getting sick. idk if the coronavirus is spreading in other countries but if so the same goes for them. no need to be traveling to america all willy nilly.,2020-01-30,2020,1,"Raleigh,NC",negative,sadness,Topic 2
they already have a vaccine made by thats proved successful in animal testing. coronavirusars,2020-01-31,2020,1,"Raleigh,NC",positive,optimism,Topic 4
people flying into and out of are taking extra precautions due to the . ive seen a number of people in masks.,2020-01-31,2020,1,"Raleigh,NC",positive,anger,Topic 1
"arriving at the iss just in time for briefing, left iss at , within days we enter orbit. what a grisly sight, shudders the commando. the suns corona breaches the horizon as dust winds arise. red shifting gives way to metallic horns of war, such that as lucifer himself.",2020-01-31,2020,1,"Raleigh,NC",negative,anger,Topic 3
really? i was thinking this coronavirus think would have ppl scared and stocks plummeting but they must be thinking like i am lol,2020-01-31,2020,1,"Raleigh,NC",positive,sadness,Topic 2
is kansas city prepared for the corona virus?,2020-02-07,2020,2,"Kansas City,MO",positive,sadness,Topic 4
corona virus reeking havoc on my vacation plans. :/,2020-02-07,2020,2,"Kansas City,MO",negative,sadness,Topic 2
throat is feeling scratchy. hope its not the corona.,2020-02-20,2020,2,"Kansas City,MO",positive,sadness,Topic 1
corona virus halted my vacation. so im going to go ahead and consider it a serious threat. yall can discount it as you wish.,2020-02-25,2020,2,"Kansas City,MO",negative,anger,Topic 2
"there is no vaccine for it. scientifically, thats worse. and i havent yet seen the flu cause people to be stuck on cruise ships for weeks at a time and/or shutdown entire cities.",2020-02-25,2020,2,"Kansas City,MO",negative,sadness,Topic 1
did you get the vaccine?,2020-02-25,2020,2,"Kansas City,MO",neutral,optimism,Topic 2
"dont worry, the president who bankrupt casinos and exploded our debt says everythings fine with the markets and corona virus. we have nothing to worry about.",2020-02-26,2020,2,"Kansas City,MO",negative,optimism,Topic 3
cant wait to hear to corona virus presser at pm ct tonight. im sure it will be a doozy.,2020-02-26,2020,2,"Kansas City,MO",positive,joy,Topic 2
is it true you can get the corona virus from a toilet lid?,2020-02-26,2020,2,"Kansas City,MO",positive,sadness,Topic 2
corona virus doesnt care what political party you belong to.,2020-02-26,2020,2,"Kansas City,MO",positive,anger,Topic 2
all of my jobs are sending out emails telling us to stay home if we have flu-like symptoms b/c of the corona virus but also dont pay us for sick time...,2020-02-28,2020,2,"Long Beach,CA",negative,sadness,Topic 2
"it feels like the is all over the news, but how is it affecting the ? in this weeks blog post, we break down how the virus is changing .",2020-02-28,2020,2,"Long Beach,CA",positive,sadness,Topic 2
